givens,proportion,inside,outside,level,level-dev,variables,variables-dev,used,used-dev,original,original-dev,conflicts,conflicts-dev,learned,learned-dev,limit,limit-dev,agility,agility-dev,memory,memory-dev
70,0.35,25.00,45.00,81.11,7.27,1515.52,38.18,59.70,2.21,287.93,7.75,35.56,22.45,16.83,18.29,1001.44,12.64,1.17,0.96,2.30,0.00
70,0.40,28.00,42.00,84.38,7.72,1548.72,31.03,58.29,1.99,289.11,6.25,27.75,20.51,15.82,17.69,1001.67,13.19,1.07,0.91,2.30,0.00
70,0.45,32.00,38.00,89.36,6.91,1605.58,24.93,56.20,1.81,292.95,2.97,20.09,18.37,14.66,17.15,1001.38,12.42,0.95,0.82,2.30,0.00
70,0.50,35.00,35.00,94.97,6.89,1656.75,25.91,54.71,1.84,295.01,2.88,17.88,16.66,14.07,16.07,1001.37,12.05,0.91,0.81,2.30,0.00
80,0.00,0.00,80.00,46.65,9.81,1525.69,38.92,68.49,4.71,321.87,4.92,139.68,132.85,126.64,132.58,1073.36,107.34,6.21,2.78,2.30,0.02
80,0.05,4.00,76.00,46.91,9.10,1489.05,54.11,66.49,4.08,316.11,8.01,82.51,66.36,66.68,66.64,1026.56,56.93,4.52,2.57,2.30,0.01
80,0.10,8.00,72.00,48.28,8.50,1430.49,85.23,66.12,3.61,306.75,12.01,71.64,44.93,42.47,43.15,1011.21,35.38,3.25,2.15,2.30,0.00
80,0.15,12.00,68.00,52.07,7.84,1353.98,96.31,66.77,3.37,294.29,14.19,67.67,32.85,25.74,26.48,1003.34,18.92,2.13,1.61,2.30,0.00
80,0.20,16.00,64.00,55.77,7.42,1308.83,81.65,67.09,2.98,281.65,14.66,63.15,29.41,19.77,23.52,1002.21,16.24,1.57,1.32,2.30,0.00
80,0.25,20.00,60.00,59.52,7.68,1297.56,57.77,66.53,2.44,274.11,11.25,49.99,26.72,17.66,20.96,1002.10,14.87,1.31,1.16,2.30,0.00
80,0.30,24.00,56.00,64.90,7.23,1331.66,42.66,65.22,2.30,274.02,7.79,38.10,22.49,15.98,18.02,1001.30,11.89,1.20,1.02,2.30,0.00
80,0.35,28.00,52.00,71.36,7.65,1383.82,36.44,63.42,2.21,272.51,8.40,29.49,19.92,15.87,17.59,1001.37,11.78,1.13,0.98,2.30,0.00
80,0.40,32.00,48.00,75.29,7.69,1430.18,32.00,61.66,2.11,277.98,5.56,24.18,18.79,14.28,16.83,1001.23,11.53,1.00,0.89,2.30,0.00
80,0.45,36.00,44.00,81.89,6.92,1499.89,27.33,59.46,1.97,281.77,6.06,21.70,18.22,14.84,17.31,1001.34,12.00,0.99,0.86,2.30,0.00
90,0.00,0.00,90.00,33.92,8.37,1342.42,55.99,74.07,4.52,309.46,7.02,164.12,146.55,142.74,147.63,1086.56,117.96,6.96,3.05,2.31,0.02
90,0.05,4.00,86.00,36.23,7.33,1258.47,115.03,72.72,3.97,294.38,20.00,94.70,60.17,55.68,61.41,1020.27,50.97,4.22,2.81,2.30,0.00
90,0.10,9.00,81.00,39.08,6.86,1168.02,116.95,72.73,3.50,277.08,21.59,77.64,32.69,23.95,25.16,1002.54,16.51,2.19,1.76,2.30,0.00
90,0.15,14.00,76.00,41.42,6.39,1107.37,92.75,73.13,2.95,261.39,20.44,67.90,28.31,16.14,18.84,1001.07,11.68,1.43,1.28,2.30,0.00
90,0.20,18.00,72.00,46.48,6.14,1106.35,68.56,72.47,2.65,253.95,15.22,54.88,25.04,14.40,16.76,1001.00,10.36,1.21,1.07,2.30,0.00
90,0.25,22.00,68.00,49.46,6.53,1133.11,54.66,71.31,2.40,253.47,12.90,47.34,24.60,14.84,17.71,1001.16,11.40,1.17,1.06,2.30,0.00
90,0.30,27.00,63.00,56.30,6.99,1201.38,40.13,69.01,2.15,257.83,9.18,36.32,21.70,15.36,18.39,1001.30,12.56,1.17,1.01,2.30,0.00
90,0.35,32.00,58.00,60.86,6.76,1267.48,34.51,66.86,2.23,264.48,6.67,30.49,20.57,15.54,18.40,1001.36,12.40,1.16,1.02,2.30,0.00
90,0.40,36.00,54.00,67.33,7.42,1329.52,35.34,64.98,2.26,266.77,7.81,26.95,20.24,15.81,18.79,1001.82,13.80,1.15,1.03,2.30,0.00
100,0.00,0.00,100.00,25.03,5.92,1108.47,138.62,78.62,4.13,282.91,26.82,131.76,91.24,82.45,95.67,1041.73,78.21,5.54,3.41,2.30,0.01
100,0.05,5.00,95.00,27.75,6.07,955.52,154.95,79.73,3.88,249.00,33.86,99.90,42.00,26.67,36.38,1006.02,26.84,2.48,2.46,2.30,0.00
100,0.10,10.00,90.00,29.16,5.35,905.66,117.58,79.64,3.42,238.00,26.20,84.26,31.22,13.42,16.51,1000.69,8.72,1.33,1.40,2.30,0.00
100,0.15,15.00,85.00,32.92,5.07,901.18,80.22,78.85,2.73,229.66,19.19,66.46,27.28,11.51,15.27,1000.69,9.41,1.04,1.03,2.30,0.00
100,0.20,20.00,80.00,37.73,5.87,939.51,60.54,77.46,2.54,229.47,14.66,53.30,23.82,13.40,15.14,1000.76,8.68,1.14,1.04,2.30,0.00
100,0.25,25.00,75.00,41.42,6.06,993.44,52.73,75.51,2.45,235.89,11.98,44.54,20.52,13.00,14.77,1000.74,8.77,1.09,0.98,2.30,0.00
100,0.30,30.00,70.00,48.10,7.23,1078.63,51.50,72.87,2.64,244.25,10.09,37.72,20.41,14.38,16.31,1000.86,9.95,1.19,1.05,2.30,0.00
100,0.35,35.00,65.00,53.10,7.56,1152.29,43.07,70.49,2.29,251.71,8.90,34.41,19.97,15.39,17.33,1001.24,11.43,1.19,1.04,2.30,0.00
110,0.00,0.00,110.00,17.96,4.60,788.02,214.58,85.82,4.44,228.63,49.59,132.83,67.42,45.68,72.98,1020.17,56.42,3.60,3.64,2.30,0.01
110,0.05,5.00,105.00,19.49,4.73,700.08,153.40,86.27,3.75,205.35,37.36,102.19,39.01,13.93,23.40,1001.80,14.96,1.47,1.93,2.30,0.00
110,0.10,11.00,99.00,22.28,4.99,678.30,102.68,85.86,3.16,195.32,25.75,80.20,31.34,8.02,12.24,1000.35,6.67,0.82,1.02,2.30,0.00
110,0.15,16.00,94.00,25.98,5.14,719.11,82.19,84.34,2.79,198.67,19.66,66.51,24.55,8.76,10.73,1000.26,5.13,0.84,0.87,2.30,0.00
110,0.20,22.00,88.00,29.83,5.41,796.31,66.63,81.61,2.63,209.43,14.93,54.52,22.68,11.05,13.98,1000.65,8.26,0.99,0.98,2.30,0.00
110,0.25,27.00,83.00,33.78,5.71,856.38,62.53,79.74,2.69,215.96,14.02,48.72,19.72,11.02,12.29,1000.38,6.12,1.00,0.95,2.30,0.00
110,0.30,33.00,77.00,37.99,5.51,946.01,49.88,76.76,2.33,229.13,10.27,43.22,20.07,11.87,14.76,1000.70,9.05,1.01,0.94,2.30,0.00
